,GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32,type
10,11,3.0,2.0,5,2,1,5.0,2,-1.0,1,-2,-1,-1.0,2,-1.0,0,2,-4,0.0,2,4.0,1,1,0.0,0.333333333333,70.5288,5.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,-0.333333333333,-0.333333333333,1.33333333333,0.0,0.0,2.0,-0.333333333333,0.666666666667,-3.66666666667,-4,-2,0,-1,-4,1,-2,-3,mixed
11,12,15.0,4.0,4,2,0,4.0,2,0.0,1,-2,1,1.0,-2,-1.0,1,-2,-5,-1.0,2,-5.0,2,1,0.0,0.666666666667,48.1897,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.2,-1.4,0.0,0.4,-0.8,0.0,-1.66666666667,3.33333333333,0.333333333333,-4,-2,0,-3,-4,-5,-5,-5,twist
12,13,3.0,2.0,4,2,0,4.0,2,0.0,1,-2,1,-1.0,2,1.0,1,-2,-5,1.0,-2,5.0,1,1,0.0,0.333333333333,70.5288,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.333333333333,-0.666666666667,0.333333333333,1.66666666667,-3.33333333333,-0.333333333333,4,2,0,1,0,-1,-4,-1,mixed
13,14,15.0,4.0,2,1,1,2.0,1,1.0,2,-4,0,2.0,0,-4.0,2,1,-5,-2.0,5,-1.0,2,1,0.0,0.666666666667,48.1897,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-0.0666666666667,0.466666666667,-1.33333333333,0.133333333333,0.0666666666667,-0.333333333333,-1.2,-1.6,4.0,-2,-1,-1,-8,-19,5,-1,-3,tilt
14,15,5.0,1.0,2,1,1,2.0,1,1.0,2,-4,0,-2.0,0,4.0,2,1,-5,2.0,-5,1.0,1,0,0.0,0.8,36.8699,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.6,0.8,-1.0,-0.8,-1.4,3.0,1.2,1.6,-4.0,2,1,1,4,-3,5,3,-1,mixed
15,16,17.0,5.0,5,3,0,5.0,3,0.0,0,0,2,0.0,0,-2.0,3,-5,0,-3.0,5,0.0,1,0,0.0,0.882352941176,28.0725,5.0,3.0,0.0,5.0,3.0,0.0,1.0,0.0,1.29411764706,-1.82352941176,-1.0,-6.70588235294,11.1764705882,6.0,9.0,-15.0,-8.0,5,3,0,8,15,-17,1,4,tilt
16,17,17.0,5.0,2,0,0,2.0,0,0.0,0,5,3,0.0,5,-3.0,0,-3,5,0.0,3,5.0,1,0,0.0,0.882352941176,28.0725,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.470588235294,0.882352941176,0.0,0.294117647059,0.176470588235,0.0,-1.35294117647,-0.411764705882,2,0,0,17,-15,8,5,-4,twist
17,18,3.0,2.0,4,4,2,2.0,0,0.0,1,-1,0,0.0,1,1.0,1,1,-4,0.0,-3,3.0,1,1,0.0,0.333333333333,70.5288,4.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.666666666667,-2.33333333333,0.333333333333,0.333333333333,-0.666666666667,-0.333333333333,6,2,2,4,1,-1,-1,0,tilt
18,19,9.0,6.0,4,4,2,4.0,4,2.0,1,-1,0,-1.0,1,0.0,1,1,-4,-1.0,-1,4.0,1,1,0.0,0.777777777778,38.9424,4.0,4.0,2.0,4.0,4.0,2.0,1.0,0.0,-0.555555555556,0.444444444444,1.22222222222,-1.55555555556,0.444444444444,2.22222222222,3.0,-1.0,-4.0,4,4,2,-1,-4,1,-3,-5,tilt
19,20,3.0,2.0,4,1,1,1.0,1,0.0,0,1,-1,1.0,-1,0.0,-2,4,4,0.0,0,-6.0,1,1,0.0,0.333333333333,70.5288,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.333333333333,-0.666666666667,0.333333333333,1.66666666667,-3.33333333333,-0.333333333333,4,2,0,1,0,-1,-4,-1,tilt
20,21,9.0,6.0,4,1,1,4.0,1,1.0,0,1,-1,0.0,-1,1.0,-2,4,4,2.0,-4,-4.0,1,1,0.0,0.777777777778,38.9424,4.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,-0.555555555556,2.11111111111,1.11111111111,1.55555555556,-4.11111111111,-2.11111111111,-1.33333333333,3.66666666667,1.66666666667,4,1,1,11,5,-4,0,1,tilt
21,22,9.0,6.0,4,4,2,4.0,4,2.0,3,-3,0,1.0,1,-4.0,1,1,-4,-3.0,3,0.0,1,1,0.0,0.777777777778,38.9424,4.0,4.0,2.0,4.0,4.0,2.0,1.0,0.0,-0.888888888889,0.777777777778,-0.777777777778,0.222222222222,-0.444444444444,0.444444444444,-2.33333333333,3.66666666667,-2.66666666667,-4,-4,-2,0,1,1,-11,-5,mixed
22,23,9.0,6.0,4,1,1,1.0,1,0.0,0,3,-3,1.0,-1,4.0,-2,4,4,4.0,-4,-2.0,1,1,0.0,0.777777777778,38.9424,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.444444444444,-1.22222222222,-0.555555555556,2.55555555556,-3.77777777778,-1.44444444444,-3.11111111111,4.55555555556,1.88888888889,-10,-6,-2,-5,-11,4,-3,-4,mixed
23,24,9.0,6.0,1,1,0,1.0,1,0.0,1,-1,4,1.0,-1,-4.0,4,-4,-2,-4.0,4,-2.0,1,1,0.0,0.777777777778,38.9424,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.444444444444,-0.555555555556,1.22222222222,0.0,0.0,2.0,-0.111111111111,0.111111111111,-2.44444444444,-1,-1,0,4,5,-11,3,2,twist
24,25,21.0,7.0,5,4,1,5.0,4,1.0,2,-2,-2,-2.0,2,2.0,-1,2,-3,1.0,-2,3.0,1,1,1.0,0.928571428571,21.7868,5.0,4.0,1.0,5.0,4.0,1.0,1.0,0.0,-0.761904761905,1.19047619048,0.047619047619,1.7619047619,-2.19047619048,-0.047619047619,-8.0,10.0,0.0,5,4,1,25,-1,-16,6,-1,tilt
25,26,7.0,8.0,5,4,1,5.0,4,-1.0,2,-2,-2,2.0,-2,2.0,-1,2,-3,1.0,-2,-3.0,1,1,1.0,0.785714285714,38.2132,5.0,4.0,1.0,5.0,4.0,1.0,1.0,0.0,0.714285714286,-0.428571428571,1.14285714286,0.142857142857,-0.285714285714,2.42857142857,0.142857142857,-0.285714285714,0.428571428571,4,2,0,9,-4,-1,4,-3,tilt
26,27,3.0,2.0,5,4,1,5.0,4,-1.0,2,-2,-2,-2.0,2,-2.0,-1,2,-3,-1.0,2,3.0,1,1,0.0,0.333333333333,70.5288,5.0,4.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,-1.0,1.0,-0.333333333333,0.333333333333,1.33333333333,-0.333333333333,0.333333333333,-0.666666666667,-1,-1,0,0,1,-1,1,-4,mixed
27,28,7.0,8.0,3,2,1,3.0,2,1.0,2,-2,-2,-2.0,2,2.0,-1,4,-5,1.0,-4,5.0,1,1,1.0,0.785714285714,38.2132,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,-0.571428571429,1.28571428571,0.142857142857,1.57142857143,-2.28571428571,-0.142857142857,-4.0,6.0,0.0,3,2,1,9,-1,-4,4,-1,tilt
28,29,21.0,7.0,3,2,1,3.0,2,-1.0,2,-2,-2,2.0,-2,2.0,-1,4,-5,1.0,-4,-5.0,1,1,1.0,0.928571428571,21.7868,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.428571428571,-0.714285714286,1.14285714286,0.52380952381,-2.09523809524,4.61904761905,0.047619047619,-0.190476190476,0.238095238095,8,2,0,25,-16,-1,16,-13,tilt
29,30,3.0,2.0,3,2,1,3.0,2,-1.0,2,-2,-2,-2.0,2,-2.0,-1,4,-5,-1.0,4,5.0,1,1,0.0,0.333333333333,70.5288,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,-1.0,1.0,-0.333333333333,0.333333333333,1.33333333333,-0.333333333333,0.333333333333,-0.666666666667,-1,-1,0,0,1,-1,1,-4,mixed
30,31,21.0,7.0,2,2,2,2.0,2,2.0,3,-2,-1,3.0,-1,-2.0,1,4,-5,-1.0,5,-4.0,1,1,1.0,0.928571428571,21.7868,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,-1.19047619048,-0.761904761905,-0.047619047619,0.904761904762,-0.380952380952,-0.52380952381,-1.14285714286,0.428571428571,0.714285714286,-2,-2,-2,16,1,25,13,2,twist
31,32,7.0,8.0,2,2,2,2.0,2,2.0,3,-2,-1,-3.0,1,2.0,1,4,-5,1.0,-5,4.0,1,1,1.0,0.785714285714,38.2132,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.142857142857,0.571428571429,1.28571428571,-0.714285714286,0.142857142857,0.571428571429,1.14285714286,-0.428571428571,-0.714285714286,2,2,2,-4,-9,-1,-1,-5,twist
32,33,11.0,9.0,6,2,2,6.0,2,2.0,0,1,-1,0.0,-1,1.0,-2,3,3,2.0,-3,-3.0,1,1,0.0,0.636363636364,50.4788,6.0,2.0,2.0,6.0,2.0,2.0,1.0,0.0,1.09090909091,-0.636363636364,-0.636363636364,-0.818181818182,0.727272727273,1.72727272727,1.0,-1.0,-2.0,6,2,2,13,8,-3,0,1,tilt
33,34,11.0,9.0,3,3,2,3.0,3,2.0,1,-1,0,-1.0,1,0.0,2,2,-6,-2.0,-2,6.0,1,1,0.0,0.636363636364,50.4788,3.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,-0.727272727273,0.272727272727,1.18181818182,-1.72727272727,0.272727272727,2.18181818182,5.0,-1.0,-6.0,3,3,2,-4,-15,1,-1,-2,tilt
34,35,11.0,9.0,1,1,0,1.0,1,0.0,3,-3,2,3.0,-3,-2.0,2,-2,-6,-2.0,2,-6.0,1,1,0.0,0.636363636364,50.4788,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.363636363636,-1.36363636364,-0.0909090909091,1.0,-1.0,0.0,-1.72727272727,1.72727272727,0.181818181818,-1,-1,0,-4,15,1,-1,2,twist
35,36,25.0,10.0,7,1,0,7.0,1,0.0,0,0,2,0.0,0,-2.0,1,-7,0,-1.0,7,0.0,1,0,0.0,0.96,16.2602,7.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.28,-0.96,-1.0,-0.24,1.68,2.0,1.0,-7.0,-8.0,7,1,0,24,7,-25,24,7,tilt
36,37,5.0,1.0,7,1,0,1.0,1,0.0,0,0,2,0.0,0,2.0,1,-7,0,5.0,-5,0.0,1,0,0.0,0.8,36.8699,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.6,-0.8,-1.0,0.6,-0.2,0.0,-1.4,-0.2,0.0,0,0,-2,4,-3,5,1,-2,tilt
37,38,15.0,4.0,7,1,0,4.0,1,1.0,0,0,6,2.0,-4,-4.0,1,-7,0,0.0,5,-5.0,2,1,0.0,0.666666666667,48.1897,7.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,-0.466666666667,-0.0666666666667,1.33333333333,-0.333333333333,-0.333333333333,2.66666666667,0.6,0.8,-5.0,-14,-2,-2,-34,-37,-25,-33,-34,mixed
38,39,25.0,10.0,2,0,0,2.0,0,0.0,0,7,1,0.0,7,-1.0,0,-1,7,0.0,1,7.0,1,0,0.0,0.96,16.2602,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.96,0.28,0.0,0.92,-0.44,0.0,-1.24,0.68,2,0,0,25,-7,24,19,-6,twist
39,40,13.0,3.0,6,4,0,6.0,4,0.0,0,0,2,0.0,0,-2.0,4,-6,0,-4.0,6,0.0,1,0,0.0,0.923076923077,22.6199,6.0,4.0,0.0,6.0,4.0,0.0,1.0,0.0,-0.538461538462,1.30769230769,0.0,2.0,-3.0,-1.0,-0.307692307692,0.461538461538,0.0,6,4,0,5,12,-13,1,5,tilt
40,41,29.0,11.0,7,3,0,7.0,3,0.0,0,0,2,0.0,0,-2.0,3,-7,0,-3.0,7,0.0,1,0,0.0,0.724137931034,43.6028,7.0,3.0,0.0,7.0,3.0,0.0,1.0,0.0,-0.758620689655,2.10344827586,1.0,5.37931034483,-12.5517241379,-6.0,-9.0,21.0,10.0,7,3,0,20,21,-29,9,8,tilt
41,42,29.0,11.0,2,0,0,2.0,0,0.0,0,7,3,0.0,7,-3.0,0,-3,7,0.0,3,7.0,1,0,0.0,0.724137931034,43.6028,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.689655172414,0.724137931034,0.0,0.827586206897,0.0689655172414,0.0,-1.41379310345,-0.0344827586207,2,0,0,29,-21,20,18,-13,twist
42,43,33.0,12.0,7,4,1,7.0,4,1.0,1,-2,1,-1.0,2,-1.0,2,-2,-6,-2.0,2,6.0,2,1,1.0,-0.454545454545,117.036,7.0,4.0,1.0,7.0,4.0,1.0,1.0,0.0,-1.78787878788,3.12121212121,1.0303030303,16.696969697,-27.0303030303,-8.75757575758,-21.0,34.0,11.0,7,4,1,23,32,-25,14,21,tilt
43,44,11.0,9.0,7,4,1,7.0,4,-1.0,1,-2,1,1.0,-2,-1.0,2,-2,-6,-2.0,2,-6.0,1,1,0.0,0.636363636364,50.4788,7.0,4.0,1.0,7.0,4.0,1.0,0.0,0.0,0.363636363636,-1.36363636364,-0.0909090909091,1.0,-1.0,0.0,-1.72727272727,1.72727272727,0.181818181818,-1,-1,0,-4,15,1,-1,2,mixed
44,45,3.0,2.0,7,4,1,7.0,4,-1.0,1,-2,1,-1.0,2,1.0,2,-2,-6,2.0,-2,6.0,1,1,0.0,0.333333333333,70.5288,7.0,4.0,1.0,7.0,4.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.333333333333,-0.666666666667,0.333333333333,1.66666666667,-3.33333333333,-0.333333333333,4,2,0,1,0,-1,-4,-1,mixed
45,46,33.0,12.0,6,2,2,6.0,2,2.0,1,-2,-1,1.0,-1,-2.0,1,4,-7,-1.0,7,-4.0,2,1,1.0,-0.454545454545,117.036,6.0,2.0,2.0,6.0,2.0,2.0,1.0,0.0,-0.0909090909091,-1.36363636364,-0.363636363636,0.151515151515,-0.393939393939,-0.0606060606061,-0.333333333333,0.666666666667,0.333333333333,-6,-2,-2,-28,-13,-35,-19,-9,tilt
46,47,3.0,2.0,6,2,2,6.0,2,2.0,1,-2,-1,-1.0,1,2.0,1,4,-7,1.0,-7,4.0,1,1,0.0,0.333333333333,70.5288,6.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.666666666667,-2.33333333333,0.333333333333,0.333333333333,-0.666666666667,-0.333333333333,6,2,2,4,1,-1,-1,0,mixed
47,48,33.0,12.0,2,1,1,2.0,1,1.0,2,-6,2,2.0,2,-6.0,4,-1,-7,-4.0,7,1.0,2,1,1.0,-0.454545454545,117.036,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.333333333333,-0.333333333333,-1.33333333333,2.24242424242,-1.06060606061,-3.42424242424,-2.36363636364,1.09090909091,3.63636363636,-2,-1,-1,-32,-25,23,-11,-8,twist
48,49,11.0,9.0,2,1,1,2.0,1,1.0,2,-6,2,-2.0,-2,6.0,4,-1,-7,4.0,-7,-1.0,1,1,0.0,0.636363636364,50.4788,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.363636363636,0.0909090909091,0.636363636364,2.36363636364,-1.09090909091,-3.63636363636,2,1,1,4,-1,15,5,-1,mixed
49,50,17.0,13.0,6,4,4,6.0,4,4.0,0,1,-1,0.0,-1,1.0,-4,3,3,4.0,-3,-3.0,1,1,0.0,0.0588235294118,86.6277,6.0,4.0,4.0,6.0,4.0,4.0,1.0,0.0,-0.647058823529,1.23529411765,0.235294117647,1.41176470588,-2.05882352941,-0.0588235294118,-4.0,6.0,0.0,6,4,4,-13,-20,-3,-13,-19,tilt
50,51,17.0,13.0,4,3,3,4.0,3,3.0,0,1,-1,0.0,-1,1.0,-6,4,4,6.0,-4,-4.0,1,1,0.0,0.0588235294118,86.6277,4.0,3.0,3.0,4.0,3.0,3.0,1.0,0.0,-0.764705882353,1.17647058824,0.176470588235,4.58823529412,-6.05882352941,-0.0588235294118,-6.0,8.0,0.0,4,3,3,-11,-21,-4,-11,-20,tilt
51,52,17.0,5.0,8,2,0,8.0,2,0.0,0,0,2,0.0,0,-2.0,2,-8,0,-2.0,8,0.0,1,0,0.0,0.882352941176,28.0725,8.0,2.0,0.0,8.0,2.0,0.0,1.0,0.0,0.470588235294,-0.882352941176,-1.0,-0.176470588235,0.705882352941,1.0,1.0,-4.0,-5.0,8,2,0,15,8,-17,11,7,tilt
52,53,17.0,13.0,1,1,0,1.0,1,0.0,3,-3,4,3.0,-3,-4.0,4,-4,-6,-4.0,4,-6.0,1,1,0.0,0.0588235294118,86.6277,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.235294117647,-1.23529411765,0.647058823529,0.176470588235,-0.176470588235,0.235294117647,-1.47058823529,1.47058823529,-1.29411764706,-1,-1,0,-4,21,-11,-1,5,twist
53,54,35.0,14.0,6,5,3,6.0,5,3.0,2,-3,1,-2.0,3,-1.0,2,0,-4,-2.0,0,4.0,2,1,0.0,-0.285714285714,106.602,6.0,5.0,3.0,6.0,5.0,3.0,0.0,1.0,-0.828571428571,1.14285714286,0.0857142857143,3.94285714286,-4.71428571429,-0.0285714285714,-10.0,12.0,0.0,6,5,3,-19,-45,8,-15,-34,tilt
54,55,5.0,1.0,6,5,3,6.0,5,-3.0,2,-3,1,2.0,-3,-1.0,2,0,-4,-2.0,0,-4.0,1,0,0.0,0.8,36.8699,6.0,5.0,3.0,6.0,5.0,3.0,0.0,0.0,-0.6,-1.0,-0.8,0.8,0.0,0.4,-1.4,0.0,-0.2,0,-2,0,-1,0,7,-1,1,mixed
55,56,7.0,8.0,6,5,3,6.0,5,-3.0,2,-3,1,-2.0,3,1.0,2,0,-4,2.0,0,4.0,1,1,1.0,0.785714285714,38.2132,6.0,5.0,3.0,6.0,5.0,3.0,0.0,0.0,-0.428571428571,1.14285714286,-0.714285714286,0.285714285714,-0.428571428571,0.142857142857,-3.42857142857,5.14285714286,-3.71428571429,6,4,0,5,3,-8,3,2,mixed
56,57,35.0,14.0,4,2,0,4.0,2,0.0,1,-2,3,1.0,-2,-3.0,3,-6,-5,-3.0,6,-5.0,2,1,0.0,-0.285714285714,106.602,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,-0.0857142857143,-0.828571428571,1.14285714286,0.0571428571429,-0.114285714286,0.571428571429,-0.142857142857,0.285714285714,-0.428571428571,-4,-2,0,-11,-48,-5,-11,-43,twist
57,58,7.0,8.0,4,2,0,4.0,2,0.0,1,-2,3,-1.0,2,3.0,3,-6,-5,3.0,-6,5.0,1,1,1.0,0.785714285714,38.2132,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.714285714286,-0.428571428571,1.14285714286,0.142857142857,-0.285714285714,2.42857142857,0.142857142857,-0.285714285714,0.428571428571,4,2,0,9,-4,-1,4,-3,mixed
58,59,35.0,14.0,3,2,1,3.0,2,-1.0,0,2,-4,0.0,2,4.0,-5,6,3,5.0,-6,3.0,2,1,0.0,-0.285714285714,106.602,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.571428571429,-0.885714285714,-0.942857142857,5.0,-6.0,-7.0,-7.42857142857,8.91428571429,10.4571428571,-12,-10,0,5,-48,11,2,-31,tilt
59,60,5.0,1.0,3,2,1,3.0,2,-1.0,0,2,-4,0.0,-2,-4.0,-5,6,3,-5.0,6,-3.0,1,0,0.0,0.8,36.8699,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.6,0.8,0.0,0.8,0.4,0.0,-1.4,-0.2,2,0,0,5,-4,3,4,-3,mixed
60,61,37.0,15.0,7,5,0,7.0,5,0.0,0,0,2,0.0,0,-2.0,5,-7,0,-5.0,7,0.0,1,0,0.0,0.945945945946,18.9246,7.0,5.0,0.0,7.0,5.0,0.0,1.0,0.0,2.18918918919,-2.86486486486,-1.0,-20.8108108108,29.1351351351,10.0,25.0,-35.0,-12.0,7,5,0,12,35,-37,1,6,tilt
61,62,37.0,15.0,2,0,0,2.0,0,0.0,0,7,5,0.0,7,-5.0,0,-5,7,0.0,5,7.0,1,0,0.0,0.945945945946,18.9246,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.324324324324,0.945945945946,0.0,0.189189189189,0.135135135135,0.0,-1.27027027027,-0.621621621622,2,0,0,37,-35,12,7,-6,twist
62,63,19.0,16.0,6,6,2,6.0,6,2.0,1,-1,0,-1.0,1,0.0,1,1,-6,-1.0,-1,6.0,1,1,0.0,0.894736842105,26.5254,6.0,6.0,2.0,6.0,6.0,2.0,1.0,0.0,-0.368421052632,0.631578947368,1.21052631579,-0.684210526316,0.315789473684,1.10526315789,2.0,-1.0,-3.0,6,6,2,-5,-24,11,-3,-11,tilt
63,64,19.0,16.0,6,1,1,6.0,1,1.0,0,1,-1,0.0,-1,1.0,-2,6,6,2.0,-6,-6.0,1,1,0.0,0.894736842105,26.5254,6.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,-0.684210526316,3.05263157895,2.05263157895,4.52631578947,-16.5789473684,-10.5789473684,-6.0,22.0,14.0,6,1,1,-11,-24,-5,-7,-12,tilt
64,65,19.0,16.0,1,1,0,1.0,1,0.0,1,-1,6,1.0,-1,-6.0,6,-6,-2,-6.0,6,-2.0,1,1,0.0,0.894736842105,26.5254,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.631578947368,-0.368421052632,1.21052631579,-0.157894736842,0.157894736842,1.05263157895,0.263157894737,-0.263157894737,-2.42105263158,-1,-1,0,12,7,-23,11,5,twist
65,66,39.0,17.0,7,5,2,7.0,5,2.0,2,-2,-2,-2.0,2,2.0,-1,3,-4,1.0,-3,4.0,1,1,1.0,0.846153846154,32.2042,7.0,5.0,2.0,7.0,5.0,2.0,1.0,0.0,3.17948717949,-3.87179487179,-0.948717948718,-13.1025641026,16.641025641,4.25641025641,37.0,-47.0,-12.0,7,5,2,49,-4,-25,18,1,tilt
66,67,13.0,18.0,7,5,2,7.0,5,-2.0,2,-2,-2,2.0,-2,2.0,-1,3,-4,1.0,-3,-4.0,1,1,1.0,0.884615384615,27.7958,7.0,5.0,2.0,7.0,5.0,2.0,1.0,0.0,0.538461538462,-0.615384615385,1.15384615385,0.384615384615,-1.15384615385,3.53846153846,0.0769230769231,-0.230769230769,0.307692307692,3,1,0,16,-9,-1,5,-4,tilt
67,68,3.0,2.0,7,5,2,7.0,5,-2.0,2,-2,-2,-2.0,2,-2.0,-1,3,-4,-1.0,3,4.0,1,1,0.0,0.333333333333,70.5288,7.0,5.0,2.0,7.0,5.0,2.0,0.0,0.0,0.0,-1.0,1.0,-0.333333333333,0.333333333333,1.33333333333,-0.333333333333,0.333333333333,-0.666666666667,-1,-1,0,0,1,-1,1,-4,mixed
68,69,13.0,18.0,4,3,1,4.0,3,1.0,2,-2,-2,-2.0,2,2.0,-2,5,-7,2.0,-5,7.0,1,1,1.0,0.884615384615,27.7958,4.0,3.0,1.0,4.0,3.0,1.0,1.0,0.0,-0.692307692308,1.23076923077,0.0769230769231,1.69230769231,-2.23076923077,-0.0769230769231,-6.0,8.0,0.0,4,3,1,16,-1,-9,5,-1,tilt
